WKT,nombre,descripción
"POINT (2.1527081 41.37619919999999)",Copistería Instaprint,
"POINT (2.1454383 41.3765037)",Copisteria Oh,
"POINT (2.1907852 41.3946785)",On Imprimir,
"POINT (2.1505052 41.3939225)",Workcenter Diagonal,
"POINT (2.170334 41.4019844)",Imprenta Barcino,
"POINT (2.1712888 41.3885698)",Workcenter Ronda Sant Pere,
"POINT (2.1353648 41.3774957)",Lycamobile: Mobils Internet Imprimir Sants,
"POINT (2.2353295 41.4489567)",BDN SERVEIS GRÀFICS,
"POINT (2.1493041 41.3824931)",Copyshow Imprenta Copisteria Barcelona,
"POINT (2.1413059 41.4043847)",Workcenter Balmes,
"POINT (2.171236099999999 41.38864819999999)",Workcenter Ronda Sant Pere,
"POINT (2.1350605 41.4050988)",DHL Express Service Point (WORKCENTER),
"POINT (2.15557 41.37471290000001)",Work Center Copinet & Mobile shop,
"POINT (2.1505052 41.3939225)",Workcenter Diagonal,
"POINT (2.1413059 41.4043847)",Workcenter Balmes,
"POINT (2.159379 41.409851)",GWC Coworking Barcelona. NO es una copistería. Alquiler despachos para empresas y emprendedores..,
"POINT (2.1390646 41.3924649)",Workcenter Ganduxer,
"POINT (2.1351217 41.4051975)",Workcenter Muntaner,
"POINT (2.1712887 41.3885697)",DHL Express Service Point (WORKCENTER SANT PERE),
"POINT (2.1736084 41.3985403)",Aragó3noventa work center- coworking,
"POINT (2.158332 41.389278)",Punto 21,
"POINT (2.178128 41.3979588)",Gràfic Centre - Sicília,
"POINT (2.1330763 41.3798799)",Intercopia Copistería,
"POINT (2.204357 41.4004446)",La "Peiper" Copistería - Papelería,
"POINT (2.1464569 41.4004592)",A2 Copisteria,
"POINT (2.111916 41.3861729)",Copisteria Low Cost - Barcelona,
"POINT (2.1716624 41.4094427)",Copisteria Replay. Tu Web más Barata de barcelona,
"POINT (2.154732 41.4244768)",La Copisteria del Carmel,
"POINT (2.1638276 41.3967521)",IMPACTO,
"POINT (2.1748822 41.408983)",Gràfic Centre - Castillejos,
"POINT (2.1679339 41.4289665)",Carcris,
"POINT (2.1357843 41.3762852)",DRAC GRÀFICS,
"POINT (2.1220392 41.3774457)",ClipGRAFIC Copisteria,
"POINT (2.1223143 41.3713945)",COPYeventus,
"POINT (2.1268367 41.3766539)",Lemon Printers | Impremta i copisteria sostenible,
"POINT (2.1403221 41.3611)",Copisteria Sant Jordi,
"POINT (2.1193078 41.37839170000001)",Jocar Copistería,
"POINT (2.1275905 41.3653655)",Papelería Nuri,
"POINT (2.1269397 41.3742519)",Art i Paper Print Site,
"POINT (2.1330015 41.375566)",Ecodisseny,
"POINT (2.109195999999999 41.3632032)",Copisteria XEROX,
"POINT (2.1004262 41.3590125)",Monrós Copi Foto,
"POINT (2.0986065 41.3590571)",Imprimeya,
"POINT (2.1221126 41.3638535)",Print Center Kymcolor,
"POINT (2.0984879 41.3721691)",Imprenta en Barcelona,,
"POINT (2.099105 41.3769709)",Quisco de impresión CEWE Alcampo Esplugues,
"POINT (2.123166700000001 41.3774649)",Pintab,
"POINT (2.140068 41.370888)",ESTUDI ROIG - Impresión digital,
"POINT (2.172965 41.40665)",SprintCopy - Imprenta Barcelona,
"POINT (2.158027 41.391286)",La Gran Impressió - SOM IMPRENTA,
"POINT (2.1742724 41.4012419)",CopyDrana,
"POINT (2.1900964 41.4239814)",Copisteria Imprenta Graficas Sagrera,
"POINT (2.1224557 41.3950779)",COPITEC,
"POINT (2.1249833 41.38982730000001)",Papelería MANILA,
"POINT (2.1372517 41.3889722)",Copy Sat SL,
"POINT (2.120687900000001 41.4008341)",Sarrià Copy,
"POINT (2.1330922 41.40599580000001)",GRAFICAS COSIALLS - Copisteria & Fotocòpies,
"POINT (2.1388314 41.4036761)",Copisteria SA-PI,
"POINT (2.1346367 41.40812529999999)",COPYSTART - Servicios gráficos, Copistería en Barcelona,
"POINT (2.1380787 41.4130393)",Copimir,
"POINT (2.1628878 41.4089053)",ALEPH 70 COPISTERIA,
"POINT (2.1465804 41.40921239999999)",Ciber Hecrau,
"POINT (2.1678762 41.4064779)",Copymoon,
"POINT (2.1582569 41.41138520000001)",Suport Gràfic,
"POINT (2.1554835 41.3986962)",Copy Vic,
"POINT (2.170151 41.39760800000001)",Copyshow Bailén Imprenta Barcelona,
"POINT (2.1636261 41.3944939)",Blackcolor Paseo de Gracia,
"POINT (2.1911997 41.3918937)",Digital Copy Shop,
"POINT (2.1943511 41.3946013)",Copiservei Poble Nou, S.L,
"POINT (2.1771759 41.38554879999999)",ARTYPLAN LAIETANA - Centre d'impressió,
"POINT (2.171507699999999 41.4302555)",Infoart Planet,
"POINT (2.1878707 41.43050239999999)",Copistería Sant Andreu - Cartuchos Sant Andreu - Big Bang Colors,
"POINT (2.155018099999999 41.42678479999999)",Copistería Copyvan Servicios Gráficos Profesionales,
"POINT (2.165183799999999 41.383494)",DUPLYCOPY,
"POINT (2.173209699999999 41.38685789999999)",Can Boada: Impresión Digital, Foto Carnet, Tazas Personalizadas,
